ex.format|형식|Format
ex.quality|품질|Quality
ex.colorSpace|색공간|Color space
ex.srgb|sRGB|sRGB
ex.p3|Display P3|Display P3
ex.p3Unsupported|이 브라우저는 Display P3 출력을 지원하지 않습니다.|This browser cannot output Display P3.
ex.p3Fallback|Display P3를 만들 수 없어 sRGB로 저장했습니다.|Display P3 was unavailable; saved as sRGB.
ex.formatUnsupported|이 브라우저에서는 사용할 수 없는 형식입니다|Not available in this browser
ex.resize|크기 조절|Resize
ex.resize.original|원본 크기|Original size
ex.resize.longEdge|긴 변 (px)|Long edge (px)
ex.resize.percent|비율 (%)|Percentage (%)
ex.resize.dimensions|지정 크기 (px)|Dimensions (px)
ex.noUpscale|확대하지 않음|Don't enlarge
ex.width|너비|Width
ex.height|높이|Height
ex.sharpen|출력 샤프닝|Output sharpening
ex.sharpen.none|없음|None
ex.sharpen.screen|화면용|For screen
ex.sharpen.print|인쇄용|For print
ex.sharpen.low|약하게|Low
ex.sharpen.standard|보통|Standard
ex.sharpen.high|강하게|High
ex.metadata|메타데이터|Metadata
ex.metadata.keep|EXIF 유지 (JPEG)|Keep EXIF (JPEG)
ex.metadata.strip|모두 제거|Remove all
ex.metadataNote|EXIF 유지는 JPEG 원본을 JPEG로 내보낼 때만 적용됩니다.|Keeping EXIF only applies when exporting a JPEG original as JPEG.
ex.copyright|저작권 문구|Copyright notice
ex.creator|작성자|Creator
ex.template|파일명 템플릿|File name template
ex.templateHelp|사용 가능: {name} {seq} {seq3} {seq4} {date} {rating} {camera} (한글: {원본명} {순번} {날짜})|Tokens: {name} {seq} {seq3} {seq4} {date} {rating} {camera}
ex.templatePreview|미리보기|Preview
ex.scope|내보낼 사진|Photos to export
ex.scope.selection|선택한 사진 (없으면 현재 사진)|Selected (or current)
ex.scope.visible|현재 보이는 사진 전체|All visible
ex.scope.all|카탈로그 전체|Entire catalog
ex.wm|워터마크 사용|Add watermark
ex.wm.kind|종류|Type
ex.wm.text|텍스트|Text
ex.wm.image|이미지|Image
ex.wm.textValue|워터마크 문구|Watermark text
ex.wm.pickImage|이미지 선택 (PNG 권장)|Choose image (PNG recommended)
ex.wm.noImage|이미지가 선택되지 않았습니다|No image selected
ex.wm.position|위치|Position
ex.wm.size|크기 (%)|Size (%)
ex.wm.opacity|투명도|Opacity
ex.wm.margin|여백 (%)|Margin (%)
ex.start|내보내기 시작|Start export
ex.cancel|취소|Cancel
ex.count|{n}장 내보내기|Export {n} photo(s)
ex.zipNote|2장 이상은 ZIP 파일 하나로 저장됩니다.|Two or more photos are saved as a single ZIP.
ex.done|완료|Done
ex.failed|실패|Failed
ex.waiting|대기 중|Waiting
ex.working|처리 중|Rendering
ex.finished|{n}장을 내보냈습니다.|Exported {n} photo(s).
ex.finishedErrors|{ok}장 성공, {bad}장 실패|{ok} exported, {bad} failed
ex.cancelled|내보내기를 취소했습니다.|Export cancelled.
ex.noWorker|이 브라우저는 OffscreenCanvas/Worker를 지원하지 않아 내보내기를 할 수 없습니다.|This browser lacks OffscreenCanvas/Worker support, so export is unavailable.
ex.nothing|내보낼 사진이 없습니다|No photos to export
ex.tiled|큰 이미지는 타일로 나눠 렌더링합니다 (GPU 최대 텍스처 크기 기준).|Large images are rendered in tiles (based on the GPU's maximum texture size).
