panel.masking|마스크 (로컬 보정)|Masking
panel.retouch|리터칭|Retouch
tool.mask|마스크|Mask
tool.spot|스팟 제거 (Q)|Spot Removal (Q)
tool.redeye|적목 (⇧E)|Red-eye (⇧E)
mask.brush|브러시 (K)|Brush (K)
mask.linear|선형 (M)|Linear (M)
mask.radial|방사형 (⇧M)|Radial (⇧M)
mask.luminance|밝기 범위|Luminance
mask.color|색상 범위|Color
mask.new|새 마스크|New mask
mask.none|마스크가 없습니다. 위 버튼으로 만드세요.|No masks yet. Create one with the buttons above.
mask.limit|마스크는 최대 {n}개까지 만들 수 있습니다.|Up to {n} masks are supported.
mask.name|마스크 이름|Mask name
mask.show|표시/숨기기|Show / hide
mask.amount|적용량|Amount
mask.invert|반전|Invert
mask.overlay|오버레이 (O)|Overlay (O)
mask.duplicate|복제|Duplicate
mask.delete|삭제 (Del)|Delete (Del)
mask.components|구성 요소|Components
mask.addComponent|구성 요소 추가|Add component
mask.opAdd|추가|Add
mask.opSubtract|빼기|Subtract
mask.opIntersect|교차|Intersect
mask.compInvert|반전|Invert
mask.brushSize|크기|Size
mask.brushFeather|페더|Feather
mask.brushFlow|흐름|Flow
mask.brushDensity|농도|Density
mask.erase|지우개 (Alt)|Erase (Alt)
mask.paint|이 마스크에 칠하기|Paint on this mask
mask.feather|페더|Feather
mask.lumMin|최소|Min
mask.lumMax|최대|Max
mask.lumSmooth|부드러움|Smoothness
mask.colorPick|색상 스포이트|Pick colour
mask.colorRange|범위|Range
mask.adjust|보정|Adjustments
mask.exposure|노출|Exposure
mask.contrast|대비|Contrast
mask.highlights|하이라이트|Highlights
mask.shadows|섀도|Shadows
mask.temp|색온도|Temp
mask.tint|색조|Tint
mask.saturation|채도|Saturation
mask.texture|텍스처|Texture
mask.clarity|명료도|Clarity
mask.dehaze|안개 제거|Dehaze
mask.sharpness|선명도|Sharpness
mask.noise|노이즈 감소|Noise
mask.hintBrush|이미지 위에서 드래그해 칠합니다. Alt = 지우개, [ ] = 크기|Drag on the image to paint. Alt = erase, [ ] = size
mask.hintLinear|이미지 위에서 드래그해 그라디언트를 만듭니다|Drag on the image to create a gradient
mask.hintRadial|이미지 위에서 중심에서 바깥으로 드래그합니다|Drag from the centre outwards
mask.hintPick|이미지에서 마스크할 색을 클릭하세요|Click a colour in the image
mask.disabledBrush|이 브라우저는 브러시 마스크에 필요한 OffscreenCanvas를 지원하지 않습니다.|Brush masks need OffscreenCanvas, which this browser lacks.
spot.title|스팟 제거|Spot Removal
spot.heal|복구 (Heal)|Heal
spot.clone|복제 (Clone)|Clone
spot.size|크기|Size
spot.feather|페더|Feather
spot.opacity|불투명도|Opacity
spot.hint|이미지를 클릭하면 스팟이 만들어지고 소스가 자동으로 추천됩니다. 드래그로 크기, 원을 끌어 위치 조정, Del 삭제|Click to place a spot; the source is suggested automatically. Drag to size it, drag a circle to move it, Del deletes.
spot.list|스팟 {n}개|{n} spot(s)
spot.autoSource|소스 자동 추천|Auto source
spot.delete|삭제|Delete
spot.limit|스팟은 최대 {n}개까지 만들 수 있습니다.|Up to {n} spots are supported.
red.title|적목 보정|Red-eye
red.pupil|동공 크기|Pupil size
red.darken|어둡게|Darken
red.hint|눈을 클릭하면 붉은 영역을 찾아 보정합니다. 원을 끌어 이동, 가장자리 핸들로 크기 조정|Click an eye; the red area is detected and corrected. Drag to move, use the handle to resize.
red.list|적목 {n}개|{n} red-eye fix(es)
red.delete|삭제|Delete
